instance,label,ES_translation_LLM,DE_translation_LLM,ES_backtranslation_LLM,DE_backtranslation_LLM
Dare you see a soul at the white heat?,yes,¿Te atreves a ver un alma al calor blanco?,"Traust du dich, eine Seele in der weißen Hitze zu sehen?",Do you dare to see a soul in white heat?,Do you dare to see a soul in the white heat?
Defunctive music under sea,yes,Música caduca bajo el mar,Verstorbene Musik unter dem Meer,Music decays under the sea,Deceased Music Under the Sea
Every street lamp that I pass Beats like a fatalistic drum,yes,Cada farola que paso late como un tambor fatalista.,"Jede Straßenlaterne, an der ich vorbeikomme, schlägt wie eine fatalistische Trommel.",Every lamppost I pass beats like a fatalistic drum.,Every street lamp I pass by beats like a fatalistic drum.
"Except when a street piano, mechanical and tired
Reiterates some worn-out common song
With the smell of hyacinths across the garden",yes,"Excepto cuando un piano callejero, mecánico y cansado,
Repite alguna canción común y desgastada 
Con el aroma de los jacintos a través del jardín.","Ausgenommen, wenn ein Straßenklavier, mechanisch und müde,
Ein abgenutztes, alltägliches Lied wiederholt
Mit dem Duft von Hyazinthen quer durch den Garten","Except when a street piano, mechanical and tired,
Repeats some common and worn out song 
With the scent of hyacinths through the garden.","Except when a street piano, mechanical and tired,
Repeats a worn-out, everyday song
With the scent of hyacinths cutting across the garden."
Faced by the snarled and yelping seas.,yes,Enfrentado por los mares enredados y aullantes.,Von den verknoteten und jaulenden Meeren konfrontiert.,Confronted by the tangled and howling seas.,Confronted by the knotted and howling seas.
"Her hand twists a paper rose,
That smells of dust and old Cologne",yes,"Su mano retuerce una rosa de papel,
Que huele a polvo y vieja colonia.","Ihre Hand formt eine Papierrose,
Die nach Staub und altem Kölnisch Wasser duftet.","Your hand twists a paper rose,
That smells like dust and old cologne.","Your hand forms a paper rose,
That smells like dust and old Eau de Cologne."
"Hope is the thing with feathers that perches in the soul, and sings the tune without the words, and never stops at all",yes,"La esperanza es aquella cosa con plumas que se posa en el alma, y canta la melodía sin necesidad de palabras, y nunca deja de hacerlo.","Hoffnung ist das Ding mit Federn, das sich in der Seele nistet, und die Melodie ohne Worte singt und niemals aufhört.","Hope is that thing with feathers that perches in the soul, and sings the melody without the need for words, and never stops doing so.","Hope is the thing with feathers that nests itself in the soul, and sings the tune without words and never stops."
I impair not beauty being mute,yes,No perjudico la belleza al ser mudo.,Ich beeinträchtige die Schönheit nicht durch Stummheit.,Being mute does not harm beauty.,I do not impair beauty through silence.
"I like to see it lap the miles, and lick the valleys up",yes,Me gusta ver cómo se traga las millas y devora los valles.,"Ich mag es zu sehen, wie es die Meilen schluckt und die Täler aufleckt.",I like to see how it swallows the miles and devours the valleys.,I like to see how it devours the miles and laps up the valleys.
I shall wear white flannel trousers,yes,Llevaré pantalones de franela blanca.,Ich werde weiße Flanellhosen tragen.,I will wear white flannel pants.,I will wear white flannel trousers.
I've heard it in the chillest land,yes,Lo he escuchado en la tierra más fría.,Ich habe es im kältesten Land gehört.,I have heard it in the coldest land.,I heard it in the coldest country.
Is entombed so still that only to the ear of God its doom is audible,yes,Está sepultado tan quieto que solo al oído de Dios su destino es audible.,"Ist so still beigesetzt, dass nur für das Ohr Gottes sein Verhängnis hörbar ist.",He is buried so quietly that only to God's ear his fate is audible.,So quietly laid to rest that only for the ear of God is his fate audible.
It is a faded meat,yes,Es una carne descolorida.,Es ist ein verblasstes Fleisch.,It is a discolored meat.,It is a faded flesh.
"It might be famine all around, I could not miss an ear",yes,"Podría haber hambruna a mi alrededor, no podría perderme ni una espiga.","Es könnte überall Hungersnot herrschen, ich könnte kein Ohr verpassen.","There could be famine around me, I could not miss even a single grain.","There could be famine everywhere, I couldn't miss an ear."
"My country need not change her gown, her triple suit as sweet as when ‘t was cut at Lexington, and first pronounced “a fit.”",yes,"Mi país no necesita cambiar su vestido, su triple traje tan dulce como cuando fue cortado en Lexington y se pronunció por primera vez ""un ajuste"".","Mein Land muss sein Gewand nicht wechseln, sein dreifacher Anzug ist genauso süß wie damals, als er in Lexington geschnitten wurde und zum ersten Mal als ""passend"" bezeichnet wurde.","My country does not need to change its dress, its triple suit is as sweet as when it was cut out in Lexington and first pronounced ""a fit"".","My country does not need to change its attire, its three-piece suit is just as sweet as it was when it was cut in Lexington and was first referred to as ""fitting""."
Nor constellation burn,yes,Ni constelación arde,Kein Sternbild brennt,No constellation burns.,No constellation burns
Nor noticed that the ebbing day flowed silver to the west,yes,Nor notó que el día menguante fluía en plata hacia el oeste.,"Nor bemerkte, dass der schwindende Tag silbern nach Westen floss.",Nor noticed that the waning day was flowing in silver towards the west.,Nor noticed that the fading day flowed silverly to the west.
Performing on a harp of gold.,yes,Actuando en un arpa de oro.,Spielen auf einer goldenen Harfe.,Playing on a golden harp.,Playing on a golden harp.
Swaddled with darkness,yes,Envuelto en oscuridad,Umhüllt mit Dunkelheit,Wrapped in darkness,Enveloped in darkness
Sweetest in the gale is heard,yes,Lo más dulce se escucha en el vendaval.,Am süßesten wird im Sturm gehört.,The sweetest is heard in the gale.,The sweetest is heard in the storm.
"That defies me,--as a hand did try to chalk the sun",yes,"Eso me desafía,--como si una mano intentara tiznar el sol.","Das widersetzt sich mir, - als würde eine Hand versuchen, die Sonne zu kritzeln.","That challenges me, --as if a hand were trying to tarnish the sun.","That contradicts me, - as if a hand would try to scribble the sun."
"The ocean's heart too smooth, too blue",yes,"El corazón del océano demasiado suave, demasiado azul.","Das Herz des Ozeans, zu glatt, zu blau.","The heart of the ocean too soft, too blue.","The heart of the ocean, too smooth, too blue."
The palate of hate departs,yes,El paladar del odio se aleja.,Die Gaumen des Hasses verlassen,The palate of hatred fades away.,The palates of hatred depart
"The reminiscence comes
Of sunless dry geraniums",yes,"Viene la reminiscencia
De geranios secos sin sol","Die Erinnerung kommt von sonnenlosen, trockenen Geranien.",The remembrance of dried geraniums without sun is coming.,"The memory comes from sunless, dry geraniums."
"The secret of its skeleton,
Stiff and white.",yes,"El secreto de su esqueleto,
Rígido y blanco.","Das Geheimnis seines Skeletts,
Steif und weiß.","The secret of his skeleton,
Stiff and white.","The secret of his skeleton,
Stiff and white."
The silent man in mocha brown,yes,El hombre silencioso en marrón moca,Der schweigsame Mann in Mokkabraun,The silent man in mocha brown,The silent man in mocha brown
The silent vertebrate in brown,yes,El vertebrado silencioso en marrón,Das stille Wirbeltier in Braun,The silent vertebrate in brown,The quiet vertebrate in brown
The yellow fog that rubs its back upon the window-panes,yes,La niebla amarilla que frota su espalda contra los cristales de las ventanas,"Der gelbe Nebel, der seinen Rücken an den Fensterscheiben reibt.",The yellow fog that rubs its back against the window panes.,The yellow fog that rubs its back against the window panes.
The yellow smoke that rubs its muzzle on the window-panes,yes,El humo amarillo que frota su hocico en los cristales de las ventanas.,"Der gelbe Rauch, der seine Schnauze an den Fensterscheiben reibt.",The yellow smoke that rubs its snout against the window panes.,The yellow smoke that rubs its snout against the window panes.
Under a windy knob.,yes,Bajo una perilla ventosa.,Unter einem windigen Knopf.,Under a windy knob.,Under a windy button.
"Views of the Oxford Colleges
Lay on the table, with the knitting.",yes,"Las vistas de los Colegios de Oxford se encuentran en la mesa, junto con el tejido.","Ansichten der Oxford Colleges
Liegen auf dem Tisch, neben dem Strickzeug.","The views of the Oxford Colleges are on the table, along with the tissue.","Views of the Oxford Colleges 
Lay on the table, next to the knitting work."
Where worried bodies of drowned men drift down in the green silence,yes,Donde los cuerpos preocupados de hombres ahogados derivan hacia abajo en el silencio verde.,Wo besorgte Körper ertrunkener Männer in der grünen Stille hinuntertreiben.,Where the worried bodies of drowned men drift downward in the green silence.,Where the bodies of drowned men drift down in the green silence.
Yet to my irritated ear an anodyne so sweet,yes,"Aún a mi oído irritado, un calmante tan dulce.",Dennoch ist für mein gereiztes Ohr ein solches Heilmittel so süß,"Even to my irritated ear, such a sweet soothing.","Nonetheless, for my agitated ear, such a remedy is so sweet."
a closet never pierced with crystal eyes,yes,Un armario nunca atravesado con ojos de cristal,"Ein Schrank, niemals durchdrungen von kristallenen Augen.",A cabinet never crossed with glass eyes,"A closet, never penetrated by crystalline eyes."
a crow that flies in heaven’s sweetest air,yes,Un cuervo que vuela en el aire más dulce del cielo,"Eine Krähe, die im süßesten Himmel fliegt.",A crow that flies in the sweetest air of the sky.,A crow flying in the sweetest sky.
a woman’s face with nature’s own hand painted,yes,El rostro de una mujer pintado con la propia mano de la naturaleza,"Ein Frauengesicht, von der Natur selbst gemalt.",The face of a woman painted by the hand of nature itself.,"A woman's face, painted by nature itself."
"and you must live, drawn by your own sweet skill",yes,"Y debes vivir, atraído por tu propia dulce habilidad","Und du musst leben, von deinem eigenen süßen Geschick gezeichnet.","And you must live, drawn by your own sweet skill.","And you must live, marked by your own sweet fate."
as sweet-season’d showers are to the ground,yes,como las dulces lluvias de temporada son para la tierra,Wie süß-gewürzte Regenschauer für den Boden sind.,Like the sweet seasonal rains are for the earth.,As sweet-spiced rain showers are for the ground.
as those gold candles fix’d in heaven’s air: let them say more that like of hearsay well,yes,Como esas velas doradas fijas en el aire celestial: que digan más aquellos a los que les gusta hablar de rumores.,"Als jene goldenen Kerzen im Himmelsluft befestigt: Lassen Sie sie mehr sagen, die gut von Hörensagen halten.",Like those golden candles fixed in the heavenly air: let those who like to talk about rumors say more.,"When those golden candles are attached in the heavenly air: Let them speak more, those who hold well from hearsay."
"dumb presagers of my speaking breast, who plead for love, and look for recompense",yes,"Estúpidos augurios de mi parlante pecho, que abogan por amor y buscan recompensa.","Dumme Vorboten meiner sprechenden Brust, die für Liebe plädieren und nach Vergeltung suchen.","Stupid omens from my speaking chest, advocating for love and seeking reward.","Stupid harbingers of my speaking chest, pleading for love and seeking retribution."
hiding thy bravery in their rotten smoke,yes,Ocultando tu valentía en su humo podrido.,Verbirg deinen Mut in ihrem verfaulten Rauch,Hiding your bravery in its rotten smoke.,Hide your courage in their rotten smoke.
hushed the shrunken seas,yes,silenció los mares encogidos,Beruhigte die geschrumpften Meere,He silenced the shrunken seas.,Calmed the shrunken seas
kissing with golden face the meadows green,yes,Besando con rostro dorado los prados verdes.,Mit goldenem Gesicht küsst die Wiesen grün,Kissing the green meadows with a golden face.,"With a golden face, it kisses the meadows green."
let the rocks Groan with continual surges,yes,Deja que las rocas giman con continuos oleajes.,Lass die Felsen ständig unter den Wogen stöhnen.,Let the rocks moan with continuous waves.,Let the rocks constantly groan under the waves.
"my love is as fair as any mother’s child, though not so bright",yes,"Mi amor es tan bello como el hijo de cualquier madre, aunque no tan brillante.","Meine Liebe ist so schön wie jedes Kind einer Mutter, wenn auch nicht so strahlend.","My love is as beautiful as any mother's son, though not as bright.","My love is as beautiful as every mother's child, even if not as radiant."
my saucy bark,yes,mi atrevida corteza,mein frecher Kahn,my daring bark,my cheeky boat
my sweet love’s beauty,yes,La belleza de mi dulce amor,die Schönheit meiner süßen Liebe,The beauty of my sweet love,the beauty of my sweet love
"scarcely greet me with that sun, thine eye",yes,"Apenas me saludas con ese sol, tu ojo.","Begrüße mich kaum mit dieser Sonne, deinem Auge.","You just greet me with that sun, your eye.","Barely greet me with this sun, your eye."
sometime too hot the eye of heaven shines,yes,A veces el ojo del cielo brilla demasiado caliente.,Manchmal scheint das Auge des Himmels zu heiß.,Sometimes the eye of the sky shines too hot.,Sometimes the eye of the sky seems too hot.
sweet flattery,yes,dulce adulación,Süße Schmeichelei,Sweet flattery,Sweet Flattery
"sweet love, renew thy force",yes,"Dulce amor, renueva tu fuerza.","Süße Liebe, erneuere deine Kraft.","Sweet love, renew your strength.","Sweet love, renew your strength."
that sweet odour,yes,ese dulce olor,Dieser süße Duft.,That sweet smell,This sweet scent.
the floors of silent seas.,yes,los suelos de los mares silenciosos.,Die Böden stiller Meere.,The floors of the silent seas.,The floors of silent seas.
the perfumed tincture of the roses,yes,La tintura perfumada de las rosas,Das parfümierte Rosenextrakt,The scented dye of the roses,The perfumed rose extract
the sessions of sweet silent thought,yes,Las sesiones de dulce pensamiento silencioso,Die Sitzungen des süßen stillen Denkens.,The sessions of sweet silent thought,The sessions of sweet quiet thinking.
the wide world and all her fading sweets,yes,El vasto mundo y todos sus dulces que se desvanecen,Die weite Welt und all ihre verblassenden Süßigkeiten.,The vast world and all its sweets that fade away.,The wide world and all its fading sweets.
their substance still lives sweet,yes,Su sustancia aún vive dulce.,Ihre Substanz lebt immer noch süß.,Its essence still lives sweetly.,Your substance still lives sweetly.
"thy hungry eyes, even till they wink with fulness",yes,"tus ojos hambrientos, incluso hasta que parpadeen de saciedad","Deine hungrigen Augen, bis sie vor Fülle zwinkern","Your hungry eyes, even until they blink with satisfaction.","Your hungry eyes, until they wink from fullness."
to hear with eyes belongs to love’s fine wit,yes,Escuchar con los ojos pertenece a la aguda inteligencia del amor.,"Zum feinen Witz der Liebe gehört es, mit den Augen zu hören.",Listening with the eyes belongs to the keen intelligence of love.,The subtle humor of love includes hearing with the eyes.
your sweet semblance to some other give,yes,Dale tu dulce semblante a alguien más.,Gib dein süßes Abbild jemand anderem.,Give your sweet countenance to someone else.,Give your sweet image to someone else.
